group,x,y,prior
data,-78,9.65679371358472e-31,"N(0, 50)"
data,-78,9.65679371358472e-31,"N(0, 10)"
data,-77,3.9353706863465176e-30,"Uniform(-Inf, Inf)"
data,-77,3.9353706863465176e-30,"N(-50, 10)"
data,-77,3.9353706863465176e-30,"N(-50, 50)"
data,-77,3.9353706863465176e-30,"N(0, 50)"
data,-77,3.9353706863465176e-30,"N(0, 10)"
data,-76,1.5797337615783067e-29,"Uniform(-Inf, Inf)"
data,-76,1.5797337615783067e-29,"N(-50, 10)"
data,-76,1.5797337615783067e-29,"N(-50, 50)"
data,-76,1.5797337615783067e-29,"N(0, 50)"
data,-76,1.5797337615783067e-29,"N(0, 10)"
data,-75,6.246370128071923e-29,"Uniform(-Inf, Inf)"
data,-75,6.246370128071923e-29,"N(-50, 10)"
data,-75,6.246370128071923e-29,"N(-50, 50)"
data,-75,6.246370128071923e-29,"N(0, 50)"
data,-75,6.246370128071923e-29,"N(0, 10)"
data,-74,2.4328598487710396e-28,"Uniform(-Inf, Inf)"
data,-74,2.4328598487710396e-28,"N(-50, 10)"
data,-74,2.4328598487710396e-28,"N(-50, 50)"
data,-74,2.4328598487710396e-28,"N(0, 50)"
data,-74,2.4328598487710396e-28,"N(0, 10)"
data,-73,9.333661116348212e-28,"Uniform(-Inf, Inf)"
data,-73,9.333661116348212e-28,"N(-50, 10)"
data,-73,9.333661116348212e-28,"N(-50, 50)"
data,-73,9.333661116348212e-28,"N(0, 50)"
data,-73,9.333661116348212e-28,"N(0, 10)"
data,-72,3.527219831394355e-27,"Uniform(-Inf, Inf)"
data,-72,3.527219831394355e-27,"N(-50, 10)"
data,-72,3.527219831394355e-27,"N(-50, 50)"
data,-72,3.527219831394355e-27,"N(0, 50)"
data,-72,3.527219831394355e-27,"N(0, 10)"
data,-71,1.3129814427463605e-26,"Uniform(-Inf, Inf)"
data,-71,1.3129814427463605e-26,"N(-50, 10)"
data,-71,1.3129814427463605e-26,"N(-50, 50)"
data,-71,1.3129814427463605e-26,"N(0, 50)"
data,-71,1.3129814427463605e-26,"N(0, 10)"
data,-70,4.814267410563126e-26,"Uniform(-Inf, Inf)"
data,-70,4.814267410563126e-26,"N(-50, 10)"
data,-70,4.814267410563126e-26,"N(-50, 50)"
data,-70,4.814267410563126e-26,"N(0, 50)"
data,-70,4.814267410563126e-26,"N(0, 10)"
data,-69,1.7387910367095956e-25,"Uniform(-Inf, Inf)"
data,-69,1.7387910367095956e-25,"N(-50, 10)"
data,-69,1.7387910367095956e-25,"N(-50, 50)"
data,-69,1.7387910367095956e-25,"N(0, 50)"
data,-69,1.7387910367095956e-25,"N(0, 10)"
data,-68,6.186003156140655e-25,"Uniform(-Inf, Inf)"
data,-68,6.186003156140655e-25,"N(-50, 10)"
data,-68,6.186003156140655e-25,"N(-50, 50)"
data,-68,6.186003156140655e-25,"N(0, 50)"
data,-68,6.186003156140655e-25,"N(0, 10)"
data,-67,2.1677961621603906e-24,"Uniform(-Inf, Inf)"
data,-67,2.1677961621603906e-24,"N(-50, 10)"
data,-67,2.1677961621603906e-24,"N(-50, 50)"
data,-67,2.1677961621603906e-24,"N(0, 50)"
data,-67,2.1677961621603906e-24,"N(0, 10)"
data,-66,7.482940815455255e-24,"Uniform(-Inf, Inf)"
data,-66,7.482940815455255e-24,"N(-50, 10)"
data,-66,7.482940815455255e-24,"N(-50, 50)"
data,-66,7.482940815455255e-24,"N(0, 50)"
data,-66,7.482940815455255e-24,"N(0, 10)"
data,-65,2.5443200415000468e-23,"Uniform(-Inf, Inf)"
data,-65,2.5443200415000468e-23,"N(-50, 10)"
data,-65,2.5443200415000468e-23,"N(-50, 50)"
data,-65,2.5443200415000468e-23,"N(0, 50)"
data,-65,2.5443200415000468e-23,"N(0, 10)"
data,-64,8.521513351867288e-23,"Uniform(-Inf, Inf)"
data,-64,8.521513351867288e-23,"N(-50, 10)"
data,-64,8.521513351867288e-23,"N(-50, 50)"
data,-64,8.521513351867288e-23,"N(0, 50)"
data,-64,8.521513351867288e-23,"N(0, 10)"
data,-63,2.811300566525832e-22,"Uniform(-Inf, Inf)"
data,-63,2.811300566525832e-22,"N(-50, 10)"
data,-63,2.811300566525832e-22,"N(-50, 50)"
data,-63,2.811300566525832e-22,"N(0, 50)"
data,-63,2.811300566525832e-22,"N(0, 10)"
data,-62,9.1357328812953e-22,"Uniform(-Inf, Inf)"
data,-62,9.1357328812953e-22,"N(-50, 10)"
data,-62,9.1357328812953e-22,"N(-50, 50)"
data,-62,9.1357328812953e-22,"N(0, 50)"
data,-62,9.1357328812953e-22,"N(0, 10)"
data,-61,2.9243211605553853e-21,"Uniform(-Inf, Inf)"
data,-61,2.9243211605553853e-21,"N(-50, 10)"
data,-61,2.9243211605553853e-21,"N(-50, 50)"
data,-61,2.9243211605553853e-21,"N(0, 50)"
data,-61,2.9243211605553853e-21,"N(0, 10)"
data,-60,9.220453930826028e-21,"Uniform(-Inf, Inf)"
data,-60,9.220453930826028e-21,"N(-50, 10)"
data,-60,9.220453930826028e-21,"N(-50, 50)"
data,-60,9.220453930826028e-21,"N(0, 50)"
data,-60,9.220453930826028e-21,"N(0, 10)"
data,-59,2.8636840397728814e-20,"Uniform(-Inf, Inf)"
data,-59,2.8636840397728814e-20,"N(-50, 10)"
data,-59,2.8636840397728814e-20,"N(-50, 50)"
data,-59,2.8636840397728814e-20,"N(0, 50)"
data,-59,2.8636840397728814e-20,"N(0, 10)"
data,-58,8.760793771983283e-20,"Uniform(-Inf, Inf)"
data,-58,8.760793771983283e-20,"N(-50, 10)"
data,-58,8.760793771983283e-20,"N(-50, 50)"
data,-58,8.760793771983283e-20,"N(0, 50)"
data,-58,8.760793771983283e-20,"N(0, 10)"
data,-57,2.6400209712553354e-19,"Uniform(-Inf, Inf)"
data,-57,2.6400209712553354e-19,"N(-50, 10)"
data,-57,2.6400209712553354e-19,"N(-50, 50)"
data,-57,2.6400209712553354e-19,"N(0, 50)"
data,-57,2.6400209712553354e-19,"N(0, 10)"
data,-56,7.836404721924094e-19,"Uniform(-Inf, Inf)"
data,-56,7.836404721924094e-19,"N(-50, 10)"
data,-56,7.836404721924094e-19,"N(-50, 50)"
data,-56,7.836404721924094e-19,"N(0, 50)"
data,-56,7.836404721924094e-19,"N(0, 10)"
data,-55,2.2912469502448363e-18,"Uniform(-Inf, Inf)"
data,-55,2.2912469502448363e-18,"N(-50, 10)"
data,-55,2.2912469502448363e-18,"N(-50, 50)"
data,-55,2.2912469502448363e-18,"N(0, 50)"
data,-55,2.2912469502448363e-18,"N(0, 10)"
data,-54,6.598914532728953e-18,"Uniform(-Inf, Inf)"
data,-54,6.598914532728953e-18,"N(-50, 10)"
data,-54,6.598914532728953e-18,"N(-50, 50)"
data,-54,6.598914532728953e-18,"N(0, 50)"
data,-54,6.598914532728953e-18,"N(0, 10)"
data,-53,1.8720552784989602e-17,"Uniform(-Inf, Inf)"
data,-53,1.8720552784989602e-17,"N(-50, 10)"
data,-53,1.8720552784989602e-17,"N(-50, 50)"
data,-53,1.8720552784989602e-17,"N(0, 50)"
data,-53,1.8720552784989602e-17,"N(0, 10)"
data,-52,5.231309258626732e-17,"Uniform(-Inf, Inf)"
data,-52,5.231309258626732e-17,"N(-50, 10)"
data,-52,5.231309258626732e-17,"N(-50, 50)"
data,-52,5.231309258626732e-17,"N(0, 50)"
data,-52,5.231309258626732e-17,"N(0, 10)"
data,-51,1.4399508968552392e-16,"Uniform(-Inf, Inf)"
data,-51,1.4399508968552392e-16,"N(-50, 10)"
data,-51,1.4399508968552392e-16,"N(-50, 50)"
data,-51,1.4399508968552392e-16,"N(0, 50)"
data,-51,1.4399508968552392e-16,"N(0, 10)"
data,-50,3.90418628753009e-16,"Uniform(-Inf, Inf)"
data,-50,3.90418628753009e-16,"N(-50, 10)"
data,-50,3.90418628753009e-16,"N(-50, 50)"
data,-50,3.90418628753009e-16,"N(0, 50)"
data,-50,3.90418628753009e-16,"N(0, 10)"
data,-49,1.0426989645140865e-15,"Uniform(-Inf, Inf)"
data,-49,1.0426989645140865e-15,"N(-50, 10)"
data,-49,1.0426989645140865e-15,"N(-50, 50)"
data,-49,1.0426989645140865e-15,"N(0, 50)"
